"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create Books","","0","0","8","0","0"
"","Delete Books","Delete Book By Title","0","0","2","0","0"
"","Create Books","POST /books","0","0","1","0","0"
"","Recommend Books","Recommend Book By Title","0","0","1","0","0"
"","Update Books","Update Book By Title","0","0","3","0","0"
"","Get Books","Get Books By Category","0","0","2","0","0"
"","Delete Books","Delete Book By ID","0","0","3","0","0"
"","Update Books","Update Book By ID","0","0","3","0","0"
"","Get Books","Get Books By ID","0","0","3","0","0"
"","Get Books","Get Books By Title","0","0","2","0","0"
"","Get Books","Get All Books","0","0","1","0","0"
